Table,Field,Data Type,Nullable,Key/Constraint,Default,Description,Suggested Dataverse Column
student_roster_clear_log,students_removed,INTEGER,No,,0,Number of student accounts removed from the professor's own Student Table by the clear operation,nb_studentsremoved
student_roster_clear_log,cleared_at,TEXT/UTC timestamp,No,,,Timestamp of the end-of-semester clear operation,createdon
student_entries,entry_id,INTEGER,No,Primary key,Auto increment,Draft-entry identifier,nb_budgetentryid
student_entries,user_id,INTEGER,No,Foreign key,,Student who owns the draft cell,nb_BudgetUser lookup
student_entries,scenario_id,INTEGER,No,Foreign key,,Scenario associated with the entry,nb_BudgetScenario lookup
student_entries,cell_key,TEXT,No,Alternate unique key with user/scenario,,Stable schedule cell identifier such as sales.units.Q1 or sales.revenue.Q1,nb_cellkey
student_entries,entered_value,TEXT,Yes,,,"Numeric draft value entered by the student or generated by an application calculation, retained as text during drafting",nb_enteredvalue
student_entries,entry_type,TEXT,No,CHECK: student_input or system_calculated,student_input,Identifies whether the cell value is entered by the student or calculated by the application; Section A sales totals and revenue use system_calculated,nb_entrytype
student_entries,calculation_rule,TEXT,Yes,,,"Formula metadata for calculated cells, including annual unit summation and Budgeted Unit Sales multiplied by Selling Price per Unit",nb_calculationrule
student_entries,updated_at,TEXT/UTC timestamp,No,,,Last autosave timestamp,modifiedon
submissions,submission_id,INTEGER,No,Primary key,Auto increment,Graded submission identifier,nb_budgetsubmissionid
submissions,user_id,INTEGER,No,Foreign key,,Submitting student,nb_BudgetUser lookup
submissions,scenario_id,INTEGER,No,Foreign key,,Submitted scenario,nb_BudgetScenario lookup
submissions,attempt_number,INTEGER,No,Unique with user/scenario,,Sequential attempt number,nb_attemptnumber
submissions,score,REAL,No,,,Final adjusted score from 0 through 100 after subtracting recorded student-support penalty points,nb_score
submissions,raw_score,REAL,Yes,,,Weighted assignment score before support-tool penalties,nb_rawscore
submissions,penalty_points,REAL,No,,0,Total percentage-point deductions applied for Assistance and Check My Work uses recorded before submission,nb_penaltypoints
submissions,entries_json,TEXT/JSON,No,,,Snapshot of every submitted budget cell,nb_entriesjson
submissions,grading_json,TEXT/JSON,No,,,Schedule-level and cell-level grading results,nb_gradingjson
submissions,submitted_at,TEXT/UTC timestamp,No,,,Submission timestamp,nb_submittedatutc
submission_schedule_scores,schedule_score_id,INTEGER,No,Primary key,Auto increment,Per-schedule score identifier,nb_budgetschedulescoreid
submission_schedule_scores,submission_id,INTEGER,No,Foreign key,,Parent submission,nb_BudgetSubmission lookup
submission_schedule_scores,schedule_id,TEXT,No,,,Stable schedule code,nb_scheduleid
submission_schedule_scores,schedule_title,TEXT,No,,,Displayed schedule title,nb_name
submission_schedule_scores,earned_points,REAL,No,,,Points earned for this schedule,nb_earnedpoints
submission_schedule_scores,possible_points,REAL,No,,,Schedule weight in the 100-point assignment,nb_possiblepoints
submission_schedule_scores,correct_cells,INTEGER,No,,,Number of correct cells,nb_correctcells
submission_schedule_scores,possible_cells,INTEGER,No,,,Number of graded cells,nb_possiblecells
student_support_events,support_event_id,INTEGER,No,Primary key,Auto increment,Student support-tool event identifier,nb_studentsupporteventid
student_support_events,user_id,INTEGER,No,Foreign key,,Student who used the support tool,nb_BudgetUser lookup
student_support_events,scenario_id,INTEGER,No,Foreign key,,Scenario in which the support tool was used,nb_BudgetScenario lookup
student_support_events,schedule_id,TEXT,No,Unique with user/scenario/event_type,,Budget section for which Assistance or Check My Work was used,nb_scheduleid
student_support_events,event_type,TEXT,No,CHECK: assistance or check_work,,Type of grade-affecting student support event,nb_eventtype
student_support_events,penalty_points,REAL,No,,Professor-configured at first use,"Percentage-point deduction caused by this support event, using the owning professor's configured penalty at the time of first use",nb_penaltypoints
student_support_events,created_at,TEXT/UTC timestamp,No,,,Timestamp when the support event was first recorded,createdon
professor_settings,professor_user_id,INTEGER,No,Composite primary key + foreign key,,Professor account whose independent policy settings apply only to students in that professor's Student Table,nb_ProfessorUser lookup
professor_settings,setting_key,TEXT,No,Composite primary key,,"Professor-scoped policy name: max_attempts, passing_score, allow_student_feedback, check_work_enabled, check_work_penalty, or assistance_penalty",nb_settingkey
professor_settings,setting_value,TEXT,No,,,Value for the professor-scoped policy. Penalty values are percentage points; check_work_enabled controls availability of Check My Work.,nb_settingvalue
app_settings,setting_key,TEXT,No,Primary key,,Application setting name,Environment variable or nb_budgetsetting
app_settings,setting_value,TEXT,No,,,Global application-level setting value; currently includes the one-time student_roster_seeded migration/initialization flag. Professor grading policies are stored separately in professor_settings.,nb_settingvalue
audit_log,audit_id,INTEGER,No,Primary key,Auto increment,Audit event identifier,nb_budgetauditlogid
audit_log,user_id,INTEGER,Yes,Foreign key,,User associated with the event,nb_BudgetUser lookup
audit_log,action,TEXT,No,,,"LOGIN, STUDENT_PASSWORD_CREATED, SAVE_DRAFT, DETAILED_EXPLANATION, ASSISTANCE_USED, CHECK_WORK_USED, SUBMIT, GRADE_PDF_DOWNLOAD, PROFESSOR_RESET, PROFESSOR_RESET_PASSWORD, PROFESSOR_ADD_STUDENT, PROFESSOR_CLEAR_STUDENT_TABLE, or PROFESSOR_SETTINGS_UPDATE",nb_action
audit_log,details_json,TEXT/JSON,Yes,,,Context for the event,nb_detailsjson
audit_log,created_at,TEXT/UTC timestamp,No,,,Audit event timestamp,createdon
dynamics_sync_log,sync_id,INTEGER,No,Primary key,Auto increment,Dataverse synchronization event identifier,nb_budgetsynclogid
dynamics_sync_log,user_id,INTEGER,Yes,Foreign key,,User initiating or associated with synchronization,nb_BudgetUser lookup
dynamics_sync_log,local_table,TEXT,No,,,Name of local SQLite source table,nb_localtable
dynamics_sync_log,local_record_id,TEXT,Yes,,,Local primary-key value,nb_localrecordid
dynamics_sync_log,dataverse_entity_set,TEXT,No,,,Dataverse entity-set logical name,nb_entityset
dynamics_sync_log,dataverse_record_id,TEXT,Yes,,,Dataverse GUID returned by the Web API,nb_dataverserecordid
dynamics_sync_log,sync_direction,TEXT,No,,,PUSH or PULL,nb_syncdirection
dynamics_sync_log,sync_status,TEXT,No,,,"PENDING, SUCCESS, or FAILED",nb_syncstatus
dynamics_sync_log,response_code,INTEGER,Yes,,,HTTP response code,nb_responsecode
dynamics_sync_log,response_message,TEXT,Yes,,,Response or error detail,nb_responsemessage
dynamics_sync_log,created_at,TEXT/UTC timestamp,No,,,Synchronization timestamp,createdon
